Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Wages Reported to Other States","_OTHER_STATES_WAGES_REPORTED_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_AK)","Yes","HRC_YES_NO","Tax Reporting Unit For United States","Alaska State Quarterly Wage Listing Rules Overrides","Captures the wages reported to other states."
"Wage Plan Code","_WAGE_PLAN_CODE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_CA)","Yes","HRX_US_WAGE_PLAN_CODE_CA","Payroll Statutory Unit For United States","California State Quarterly Wage Listing Rules","Captures the wage plan code."
"Wage Plan Code","_WAGE_PLAN_CODE(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_CA)","Yes","HRX_US_WAGE_PLAN_CODE_CA","Tax Reporting Unit For United States","California State Quarterly Wage Listing Rules Overrides","Captures the wage plan code."
"Wage Plan Code","_WAGE_PLAN_CODE_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_SQWL_RULES_CA)","Yes","HRX_US_WAGE_PLAN_CODE_CA","Payroll Statutory Unit For United States","California State Quarterly Wage Listing Rules","Captures the wage plan code."
"Wage Plan Code","_WAGE_PLAN_CODE_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_SQWL_RULES_CA)","Yes","HRX_US_WAGE_PLAN_CODE_CA","Tax Reporting Unit For United States","California State Quarterly Wage Listing Rules Overrides","Captures the wage plan code."
"WPS Employer Bank ID","_WPS_EMPLOYR_BANK_ID(PER_ORGANIZATION_INFORMATION_EFF=ORA_SA_PSU_WPS_INFO)","No","ORA_SA_10_CHAR","Payroll Statutory Unit For Saudi Arabia","Saudi Wage Protection System Information",""
"WPS Employer Bank Code","wpsEmployerBankCode(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_AE_PSU_DETAILS)","No","ORA_HRX_AE_NUM_9","Payroll Statutory Unit For United Arab Emirates","Wage Protection System Info",""
"WPS Agent ID","wpsAgentId(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_AE_PSU_DETAILS)","No","ORA_HRX_AE_NUM_9","Payroll Statutory Unit For United Arab Emirates","Wage Protection System Info",""
"W-2c Publish Month","W2CPortraitPublishMonth(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2C publish month"
"W-2c Publish Month","W2CPortraitPublishMonth(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2c Publish Month","W2CPortraitPublishMonth_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2C publish month"
"W-2c Publish Month","W2CPortraitPublishMonth_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2c Publish Day","W2CPortraitPublishDay(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2C publish day"
"W-2c Publish Day","W2CPortraitPublishDay(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2c Publish Day","W2CPortraitPublishDay_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2C publish day"
"W-2c Publish Day","W2CPortraitPublishDay_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2 Publish Month","portraitPublishMonth(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures publish month"
"W-2 Publish Month","portraitPublishMonth_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures publish month"
"W-2 Publish Month","w2d2PortraitPublishMont(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2 Publish Month","w2d2PortraitPublishMont_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_MONTH","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2 Publish Day","w2d2PortraitPublishDay(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2 publish day"
"W-2 Publish Day","w2d2PortraitPublishDay1(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2 Publish Day","w2d2PortraitPublishDay1_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Tax Reporting Unit For United States","Federal Year-End Reporting Rules",""
"W-2 Publish Day","w2d2PortraitPublishDay_Display(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","ORA_HRX_US_W2_PORTRAIT_DAY","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures W2 publish day"
"Value","orahrxGbEeValue(PER_ORGANIZATION_INFORMATION_EFF=ORA_HRX_GB_PEN_SCHEMES_LEMP_DETAILS)","No","ORA_HRX_GB_PEN_EE_VALUE_VS","Legal Employer For United Kingdom","Pension Schemes",""
"Validation For Existing Subordinates Termination","validationExistingSubordinates(PER_ORGANIZATION_INFORMATION_EFF=ORA_EMPL_CONF)","No","ORA_FUT_DAT_VS","Enterprise","Employment Configuration Options","Enables an error or warning message during termination if subordinates exist."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_FEDERAL_RULES)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Federal W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_AR)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Arkansas W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_AZ)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Arizona W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_CO)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Colorado W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_DC)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","District of Columbia W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_DE)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Delaware W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_IA)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Iowa W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_ID)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Idaho W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_IL)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Illinois W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_KS)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Kansas W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_KY)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Kentucky W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_LA)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Louisiana W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_MD)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Maryland W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_ME)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Maine W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_MI)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Michigan W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_MN)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Minnesota W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_MS)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Mississippi W-2 Reporting Rules","Captures the user identification."
