Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"Establishment Comments1","establishmentComments1(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_150","HcmLocationsLegislativeCategory","United States Reporting Information",""
"Employer Unit Number","_EMPLOYER_UNIT_NUMBER(PER_LOCATION_LEG_EFF=HRX_US_UNEMPLOYMENT_REPORTING)","No","HRX_US_NUM_5","HcmLocationsLegislativeCategory","United States State Unemployment Reporting Information","Captures Employer Unit Number"
"D-U-N-S Number","_DUNS_NUMBER(PER_LOCATION_LEG_EFF=HRX_US_REPORTING_INFORMATION)","No","HRC_CHAR_9","HcmLocationsLegislativeCategory","United States Reporting Information","Captures the Dun and Bradstreet identification number for the establishment."
"County","county(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_COUNTY","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"County","county_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_COUNTY","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Comment","_MWS_COMMENT(PER_LOCATION_LEG_EFF=HRX_US_MWS_INFORMATION)","No","HRC_CHAR_50","HcmLocationsLegislativeCategory","United States Multiple Worksite Reporting Information","Captures comments explaining any large changes in employment or wages for the worksite."
"City","city(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_CITY","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"City","city_Display(PER_LOCATION_LEG_EFF=ORA_HRX_US_WORK_TAX_JURD)","No","ORA_HRX_US_CITY","HcmLocationsLegislativeCategory","Work Tax Jurisdictions",""
"Census Metropolitan Area","_CMA_CODE(PER_LOCATION_LEG_EFF=HRX_CA_LOC_EER_RULES)","No","HRX_CA_CMA_CODE","HcmLocationsLegislativeCategory","Canada Employment Equity Interface Rules","Captures the Census Metropolitan Area code related to the province used to identify an area for an employee for Employment Equity reporting."
"Census Metropolitan Area","_CMA_CODE_Display(PER_LOCATION_LEG_EFF=HRX_CA_LOC_EER_RULES)","No","HRX_CA_CMA_CODE","HcmLocationsLegislativeCategory","Canada Employment Equity Interface Rules","Captures the Census Metropolitan Area code related to the province used to identify an area for an employee for Employment Equity reporting."
"Alternate Email ID","alternateEmailId(PER_LOCATION_LEG_EFF=ORA_HRX_IN_EMPLR_CONT_INFO)","No","HRX_IN_CHAR_150","HcmLocationsLegislativeCategory","India Employer Additional Contact Information","Alternate email for the employer."
